,al_id,u_id,datetime
555,1149,66,2022.01.24
556,1137,66,2022.01.24
557,1094,66,2022.01.04
558,1094,66,2022.01.04
559,190,66,2022.01.04
560,275,67,2020.11.30
561,275,67,2020.11.11
562,340,67,2021.04.22
563,275,68,2021.11.16
564,282,68,2021.11.16
565,77,68,2020.06.24
566,70,68,2020.06.24
567,190,68,2021.11.16
568,293,68,2021.11.16
569,196,68,2021.11.16
570,100,68,2021.11.16
571,275,69,2020.12.17
572,282,69,2020.12.24
573,282,70,2020.12.28
574,226,70,2020.12.28
575,226,70,2020.12.17
576,194,70,2020.12.04
577,231,70,2020.10.23
578,254,70,2021.08.26
579,254,70,2020.12.28
580,82,70,2021.08.26
581,282,71,2022.01.25
582,282,72,2022.06.16
583,282,73,2021.12.21
584,86,73,2021.12.21
585,144,73,2021.12.22
586,1140,73,2021.12.21
587,283,73,2021.12.21
588,1129,73,2021.12.21
589,142,74,2022.03.03
590,72,74,2020.12.03
591,257,74,2021.05.20
592,244,74,2021.01.08
593,70,74,2020.11.09
594,142,75,2021.10.21
595,257,75,2021.04.20
596,77,75,2022.02.09
597,140,76,2021.12.08
598,207,76,2020.05.28
599,231,76,2020.05.19
600,148,76,2019.11.13
601,148,76,2019.10.28
602,202,76,2021.12.08
603,95,76,2022.07.08
604,77,76,2019.12.06
605,77,76,2019.11.01
606,77,76,2019.10.28
607,162,76,2021.02.02
608,162,76,2020.05.19
609,162,76,2019.11.27
610,162,76,2019.10.28
611,1165,76,2022.03.22
612,140,77,2022.03.12
613,77,77,2022.01.20
614,140,78,2022.08.05
615,140,79,2020.04.02
616,72,79,2020.04.02
617,140,80,2021.07.27
618,147,80,2020.10.05
619,225,80,2020.10.15
620,194,80,2020.12.09
621,202,80,2022.02.10
622,202,80,2021.05.22
623,77,80,2020.12.10
624,77,80,2020.12.09
625,1064,80,2021.10.27
626,224,80,2021.10.27
627,140,81,2022.01.07
628,106,81,2022.01.07
629,72,82,2022.02.25
630,151,82,2022.02.25
631,231,82,2022.02.25
632,72,83,2021.01.05
633,1219,83,2022.05.31
634,72,84,2022.02.10
