c_id,c_name,id,alname,al_star,date
171,곽*경,199,하타,3,2020.04.08
172,곽*민,1092,안동소주 일품 40% 골드,5,2022.07.15
173,곽*하,135,복순도가 손 막걸리,5,2022.05.16
173,곽*하,135,복순도가 손 막걸리,4.5,2022.03.28
173,곽*하,135,복순도가 손 막걸리,5,2021.11.21
173,곽*하,197,단상지교,4.5,2022.03.28
173,곽*하,326,밀담 40%,5,2021.04.07
173,곽*하,219,댄싱파파,4,2021.11.26
174,광운종합렌탈,1049,금설,5,2022.02.09
175,광협,1054,만월 40%,5,2022.08.02
176,구*주,1094,고도리 샤인머스캣 와인 (망고포도),5,2022.01.08
176,구*주,294,고도리 자두 와인,5,2022.01.08
176,구*주,193,고도리 화이트 와인 (스위트),5,2022.01.08
178,구*환,1064,"동백꽃, 제주",5,2022.07.13
179,구른돌,1094,고도리 샤인머스캣 와인 (망고포도),4,2022.08.10
180,구름구름,1203,매화깊은밤,5,2022.06.29
180,구름구름,93,솔송주,5,2022.06.29
180,구름구름,1106,솔섬 25%,5,2022.06.29
181,구영리담화,133,담은,4.5,2022.07.01
182,구태완,1061,시나브로 에뚜왈 로제 스파클링 와인,5,2022.06.15
183,궁붕붕,207,세종대왕어주 탁주,3,2022.04.27
184,궁예술이좋소,1113,두레앙 일반증류주 35%,5,2022.06.29
185,권*경,202,겨울소주 25%,4.5,2021.09.08
186,권*수,135,복순도가 손 막걸리,4,2020.09.30
186,권*수,151,삼양춘 약주,5,2020.08.05
186,권*수,231,삼양춘 청주,4,2020.07.16
187,권*열,310,담화탁주,5,2022.01.18
187,권*열,1043,만월 24%,4.5,2022.01.18
187,권*열,77,매실원주,5,2022.01.09
187,권*열,1085,밀담 52%,5,2022.01.09
187,권*열,222,요새로제,4.5,2021.09.13
188,권*용,75,술취한 원숭이,5,2020.11.26
189,권*우,130,니모메,5,2021.09.14
189,권*우,280,커피냑,5,2021.01.06
190,권*이,198,술공방 9.0,4.5,2021.08.15
190,권*이,202,겨울소주 25%,4.5,2021.08.15
191,권*익,198,술공방 9.0,3,2022.02.19
191,권*익,202,겨울소주 25%,4,2022.02.19
192,권*일,257,토박이 한산 소곡주,5,2021.07.25
193,권*정,275,문삼이공 잣,3,2022.01.23
193,권*정,240,오산 막걸리,4,2022.01.23
193,권*정,292,편백숲 산소막걸리 딸기 스파클링,4.5,2022.07.13
193,권*정,292,편백숲 산소막걸리 딸기 스파클링,5,2022.07.13
193,권*정,1051,궁중술 왕주,5,2022.07.13
193,권*정,116,청명주 약주 17%,5,2022.01.23
193,권*정,313,녹파주,5,2022.01.23
193,권*정,95,담솔,5,2022.07.13
193,권*정,95,담솔,5,2022.01.23
193,권*정,345,려 증류소주 25%,3,2022.07.13
193,권*정,276,왕율주 33%,4.5,2022.01.23
193,권*정,115,이도 22%,5,2022.01.26
193,권*정,1012,이도 25%,5,2022.07.13
193,권*정,1167,진도 아리랑 홍주 40%,2.5,2022.04.20
194,권*지,197,단상지교,4,2022.07.13
194,권*지,70,서울의 밤,4.5,2021.12.21
194,권*지,70,서울의 밤,5,2021.12.21
194,권*지,224,혼디주,4.5,2021.12.21
195,권*진,257,토박이 한산 소곡주,3,2021.03.20
196,권*철,1049,금설,5,2021.12.08
196,권*철,1111,신애유자,5,2021.12.08
196,권*철,110,애피소드 상그리아,5,2021.12.08
197,권*호,133,담은,5,2021.10.18
197,권*호,194,고흥 유자주 8%,5,2021.02.18
197,권*호,286,김포 특주,5,2021.02.18
197,권*호,286,김포 특주,5,2021.01.24
197,권*호,77,매실원주,5,2021.10.18
197,권*호,77,매실원주,5,2021.10.18
197,권*호,77,매실원주,5,2021.05.04
197,권*호,77,매실원주,5,2021.02.18
198,권*훈,133,담은,5,2021.02.17
199,권*희,194,고흥 유자주 8%,4.5,2021.09.14
199,권*희,222,요새로제,5,2021.08.14
